# patches_cabecalho.txt -- o lote de 2026-09-18 que entrou no patches.txt.
# Aprovado pelo usuario: grupo A inteiro, B e C desde que nao mexam nos 167
# quadros bons, e o par do cabecalho do frame 11.
#
# Origem: tools/cabecalho_slice.py (juiz: cabecalho valido pela norma e
# igual ao esperado -- tipo, frame_num e POC pelo ctts; deblocking 0/-1/-1,
# cabac_init 0, sem reordenacao nas constantes do filme; QP so em faixa larga).
# So entram solucoes UNICAS de 1 ou 2 bits.
#
# Verificacao antes de entrar: as imagens decodificadas dos 167 quadros bons
# (ilhas 0-10, 2333-2361, 3319-3444 e o frame 12) saem BYTE A BYTE iguais com
# o lote aplicado (serie com TARJA=1, base contra A, A+B e A+B+C).
#
# FORA do lote:
#   2361  a solucao desfaz um bit de reparo que ja esta no patches.txt
#         (77528965 2). Decisao do usuario, a parte.
#   10 quadros ambiguos (2+ solucoes): 15 79 232 858 1009 1871 (A), 1630 1772
#         2021 (C). O frame 11 era ambiguo e entrou porque o pixel decidiu.
#
# REMOVIDAS em 2026-09-18, com aprovacao do usuario: 12 linhas de 6 quadros do
# grupo B (1599, 1601, 1602, 1603, 1604, 1606). A ferramenta reconhecia IDR pelo
# byte NAL e tratou o 1595 como IDR -- ele nao e: os 9 cabecalhos legiveis de
# 1596-1610 continuam a sequencia do IDR 1582, nenhum reinicia. Essas 6
# "correcoes" trocavam frame_num/POC certos por valores contados a partir do IDR
# falso. A verificacao dos 167 nao pegou porque o trecho fica fora das ilhas.
#
# colunas: offset bit | quadro | grupo | o que o cabecalho tinha
85781024 4 | 2582 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
85978545 3 | 2588 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
86272990 0 | 2600 | B frame_num/POC/tipo errado | valido, desvia 1/3
86272992 2 | 2600 | B frame_num/POC/tipo errado | valido, desvia 1/3
86325164 6 | 2601 | B frame_num/POC/tipo errado | valido, desvia 2/0
86325164 0 | 2601 | B frame_num/POC/tipo errado | valido, desvia 2/0
86364940 2 | 2603 | B frame_num/POC/tipo errado | valido, desvia 1/0
86760024 7 | 2614 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=255 fora de [0,3]
86760025 7 | 2614 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=255 fora de [0,3]
86771720 2 | 2615 | B frame_num/POC/tipo errado | valido, desvia 1/0
87067499 0 | 2627 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
87103433 0 | 2629 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
87460936 2 | 2640 | B frame_num/POC/tipo errado | valido, desvia 1/1
87460940 2 | 2640 | B frame_num/POC/tipo errado | valido, desvia 1/1
87643169 0 | 2645 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
87643170 2 | 2645 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
87655188 7 | 2646 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
88197291 7 | 2665 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
88197293 5 | 2665 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
88832779 3 | 2681 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
88832780 0 | 2681 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
88975841 0 | 2686 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
89328602 0 | 2693 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=33151 fora de [0,3]
89363645 2 | 2694 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=20 fora de [0,3]
89363645 0 | 2694 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=20 fora de [0,3]
89561572 4 | 2698 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
89561574 7 | 2698 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
89909669 0 | 2701 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
89909671 6 | 2701 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
89918554 5 | 2702 | B frame_num/POC/tipo errado | valido, desvia 1/0
90007998 5 | 2706 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=67071 fora de [0,3]
90007999 7 | 2706 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=67071 fora de [0,3]
90542157 2 | 2727 | B frame_num/POC/tipo errado | valido, desvia 1/0
90951132 5 | 2735 | B frame_num/POC/tipo errado | valido, desvia 1/1
90951133 4 | 2735 | B frame_num/POC/tipo errado | valido, desvia 1/1
91034970 0 | 2738 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
91034974 4 | 2738 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
91093424 3 | 2741 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=10 fora de [0,2]
91093427 4 | 2741 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=10 fora de [0,2]
91481443 2 | 2750 | B frame_num/POC/tipo errado | valido, desvia 1/1
91481446 4 | 2750 | B frame_num/POC/tipo errado | valido, desvia 1/1
91533855 0 | 2752 | B frame_num/POC/tipo errado | valido, desvia 1/1
91533857 1 | 2752 | B frame_num/POC/tipo errado | valido, desvia 1/1
92019810 0 | 2758 | A cabecalho invalido | invalido: cabac_init_idc=38 fora de [0,2]
92019812 2 | 2758 | A cabecalho invalido | invalido: cabac_init_idc=38 fora de [0,2]
92170288 7 | 2764 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
92170289 7 | 2764 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
92567564 2 | 2775 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
92810260 2 | 2780 | B frame_num/POC/tipo errado | valido, desvia 1/0
93106332 5 | 2785 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
93106337 2 | 2785 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
93455605 6 | 2788 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
93455607 1 | 2788 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
93556689 5 | 2792 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
93739984 7 | 2799 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
93739985 0 | 2799 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
93839777 3 | 2800 | B frame_num/POC/tipo errado | valido, desvia 1/0
94289204 4 | 2815 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
94436572 3 | 2820 | B frame_num/POC/tipo errado | valido, desvia 1/0
94477503 7 | 2822 | B frame_num/POC/tipo errado | valido, desvia 1/0
94626776 7 | 2826 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/3
94720584 4 | 2828 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
94970108 4 | 2833 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=47 fora de [0,3]
94970110 1 | 2833 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=47 fora de [0,3]
95074157 5 | 2838 | B frame_num/POC/tipo errado | valido, desvia 1/0
95275974 4 | 2845 | B frame_num/POC/tipo errado | valido, desvia 1/0
95417168 3 | 2849 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=6 fora de [0,2]
95417169 1 | 2849 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=6 fora de [0,2]
95458780 7 | 2850 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
95570690 0 | 2852 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=4 fora de [0,3]
95570692 2 | 2852 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=4 fora de [0,3]
95761876 0 | 2857 | A cabecalho invalido | invalido: ue com zeros demais
96058736 7 | 2864 | B frame_num/POC/tipo errado | valido, desvia 1/0
96210458 0 | 2869 | B frame_num/POC/tipo errado | valido, desvia 1/0
96210459 3 | 2869 | B frame_num/POC/tipo errado | valido, desvia 1/0
96350327 2 | 2873 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=16 fora de [0,3]
96406559 2 | 2876 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=13 fora de [0,2]
96491702 3 | 2877 | B frame_num/POC/tipo errado | valido, desvia 1/0
96542260 1 | 2879 | B frame_num/POC/tipo errado | valido, desvia 1/0
97525706 5 | 2903 | A cabecalho invalido | invalido: ue com zeros demais
97680372 2 | 2907 | B frame_num/POC/tipo errado | valido, desvia 1/0
97829130 6 | 2910 | B frame_num/POC/tipo errado | valido, desvia 1/0
98164798 3 | 2918 | B frame_num/POC/tipo errado | valido, desvia 1/0
98268691 6 | 2921 | A cabecalho invalido | invalido: cabac_init_idc=22 fora de [0,2]
98655423 5 | 2932 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=7 fora de [0,2]
98854976 2 | 2937 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
98854978 2 | 2937 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
99045385 5 | 2941 | B frame_num/POC/tipo errado | valido, desvia 1/0
99045385 3 | 2941 | B frame_num/POC/tipo errado | valido, desvia 1/0
99404168 7 | 2946 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
100132723 0 | 2966 | B frame_num/POC/tipo errado | valido, desvia 1/0
100632928 1 | 2972 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
100774521 6 | 2977 | B frame_num/POC/tipo errado | valido, desvia 1/1
100774522 1 | 2977 | B frame_num/POC/tipo errado | valido, desvia 1/1
100823945 2 | 2980 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
100919274 5 | 2983 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
101272155 1 | 2991 | A cabecalho invalido | invalido: cabac_init_idc=38 fora de [0,2]
101272158 6 | 2991 | A cabecalho invalido | invalido: cabac_init_idc=38 fora de [0,2]
101416455 3 | 2993 | A cabecalho invalido | invalido: ue com zeros demais
101416457 1 | 2993 | A cabecalho invalido | invalido: ue com zeros demais
101519107 5 | 2996 | A cabecalho invalido | invalido: chroma_log2_weight_denom=269 fora de [0,7]
102387863 0 | 3014 | A cabecalho invalido | invalido: qp=-92 fora de [0,51]
102387865 4 | 3014 | A cabecalho invalido | invalido: qp=-92 fora de [0,51]
102493937 3 | 3017 | B frame_num/POC/tipo errado | valido, desvia 1/0
102740182 4 | 3025 | B frame_num/POC/tipo errado | valido, desvia 1/0
102933612 1 | 3028 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
103226922 0 | 3040 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
103226923 0 | 3040 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
103283271 0 | 3041 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
103386030 1 | 3045 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
103386032 1 | 3045 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
103484067 5 | 3048 | B frame_num/POC/tipo errado | valido, desvia 1/0
103570709 0 | 3051 | B frame_num/POC/tipo errado | valido, desvia 1/0
103673478 4 | 3056 | B frame_num/POC/tipo errado | valido, desvia 1/0
103766539 5 | 3059 | B frame_num/POC/tipo errado | valido, desvia 1/0
104163765 7 | 3069 | B frame_num/POC/tipo errado | valido, desvia 1/0
104209433 4 | 3071 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
104305392 0 | 3074 | A cabecalho invalido | invalido: cabac_init_idc=6 fora de [0,2]
104305396 6 | 3074 | A cabecalho invalido | invalido: cabac_init_idc=6 fora de [0,2]
104603853 2 | 3078 | A cabecalho invalido | invalido: alpha=-15 fora de [-6,6]
104603853 1 | 3078 | A cabecalho invalido | invalido: alpha=-15 fora de [-6,6]
104656224 0 | 3081 | A cabecalho invalido | invalido: chroma=4104 fora de [-128,127]
104753545 1 | 3082 | B frame_num/POC/tipo errado | valido, desvia 1/0
104810154 2 | 3085 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
104810157 2 | 3085 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
104955175 7 | 3089 | B frame_num/POC/tipo errado | valido, desvia 1/1
104955179 4 | 3089 | B frame_num/POC/tipo errado | valido, desvia 1/1
105093651 7 | 3093 | A cabecalho invalido | invalido: cabac_init_idc=65 fora de [0,2]
105093653 4 | 3093 | A cabecalho invalido | invalido: cabac_init_idc=65 fora de [0,2]
105299134 5 | 3098 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
105299137 6 | 3098 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
105346003 5 | 3100 | B frame_num/POC/tipo errado | valido, desvia 1/2
105346005 0 | 3100 | B frame_num/POC/tipo errado | valido, desvia 1/2
105632324 7 | 3117 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=519 fora de [0,3]
105632326 0 | 3117 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=519 fora de [0,3]
105637786 0 | 3118 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
105637792 4 | 3118 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
106028201 3 | 3132 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
106033741 1 | 3133 | B frame_num/POC/tipo errado | valido, desvia 2/0
106033742 4 | 3133 | B frame_num/POC/tipo errado | valido, desvia 2/0
106179745 0 | 3143 | A cabecalho invalido | invalido: luma_log2_weight_denom=69 fora de [0,7]
106322412 1 | 3150 | B frame_num/POC/tipo errado | valido, desvia 1/1
106322415 4 | 3150 | B frame_num/POC/tipo errado | valido, desvia 1/1
106329358 7 | 3151 | B frame_num/POC/tipo errado | valido, desvia 1/0
106380741 5 | 3153 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=12 fora de [0,2]
106380741 3 | 3153 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=12 fora de [0,2]
106622249 1 | 3159 | B frame_num/POC/tipo errado | valido, desvia 1/0
106767401 6 | 3167 | A cabecalho invalido | invalido: cabac_init_idc=10 fora de [0,2]
106773469 5 | 3168 | A cabecalho invalido | invalido: chroma_log2_weight_denom=7022 fora de [0,7]
106773470 5 | 3168 | A cabecalho invalido | invalido: chroma_log2_weight_denom=7022 fora de [0,7]
106819350 0 | 3169 | A cabecalho invalido | invalido: ue com zeros demais
106819354 7 | 3169 | A cabecalho invalido | invalido: ue com zeros demais
106912845 2 | 3173 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
106922745 4 | 3174 | B frame_num/POC/tipo errado | valido, desvia 1/0
107121075 1 | 3181 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
107659183 7 | 3196 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=26 fora de [0,3]
107659194 4 | 3196 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=26 fora de [0,3]
107795236 1 | 3202 | A cabecalho invalido | invalido: beta=14 fora de [-6,6]
107996202 3 | 3214 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
107996207 1 | 3214 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
108397204 5 | 3226 | B frame_num/POC/tipo errado | valido, desvia 1/0
108491390 7 | 3232 | B frame_num/POC/tipo errado | valido, desvia 1/0
108635524 6 | 3239 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
108836820 3 | 3247 | B frame_num/POC/tipo errado | valido, desvia 2/0
108836821 2 | 3247 | B frame_num/POC/tipo errado | valido, desvia 2/0
109085049 1 | 3250 | A cabecalho invalido | invalido: pps_id=295 fora de [0,0]
109085051 6 | 3250 | A cabecalho invalido | invalido: pps_id=295 fora de [0,0]
109122431 6 | 3252 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
109122431 1 | 3252 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
109127022 2 | 3253 | B frame_num/POC/tipo errado | valido, desvia 1/0
109181787 0 | 3255 | B frame_num/POC/tipo errado | valido, desvia 1/0
109181788 4 | 3255 | B frame_num/POC/tipo errado | valido, desvia 1/0
109272919 0 | 3260 | B frame_num/POC/tipo errado | valido, desvia 1/0
109272920 5 | 3260 | B frame_num/POC/tipo errado | valido, desvia 1/0
109428857 3 | 3267 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=4 fora de [0,2]
109474437 1 | 3270 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
109565901 5 | 3272 | B frame_num/POC/tipo errado | valido, desvia 1/0
110160724 3 | 3286 | B frame_num/POC/tipo errado | valido, desvia 1/0
110561730 5 | 3295 | B frame_num/POC/tipo errado | valido, desvia 1/1
110561733 7 | 3295 | B frame_num/POC/tipo errado | valido, desvia 1/1
110645691 6 | 3296 | B frame_num/POC/tipo errado | valido, desvia 2/0
110645691 0 | 3296 | B frame_num/POC/tipo errado | valido, desvia 2/0
110797810 0 | 3302 | B frame_num/POC/tipo errado | valido, desvia 1/0
110807411 6 | 3303 | A cabecalho invalido | invalido: cabac_init_idc=10 fora de [0,2]
110807411 3 | 3303 | A cabecalho invalido | invalido: cabac_init_idc=10 fora de [0,2]
110896578 0 | 3307 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/3
52638174 1 | 1597 | B frame_num/POC/tipo errado | valido, desvia 1/0 (frame_num 4, esperado 5 -- achado depois de o 1595 deixar de contar como IDR; aprovado pelo usuario)
53079142 4 | 1610 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2 (achado depois de o 1595 deixar de contar como IDR; aprovado pelo usuario)
77528966 4 | 2361 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0. Junto com a REMOCAO da linha "77528965 2" do reparo antigo (aprovado pelo usuario): o deblocking saia 1 e o cabecalho terminava cedo; o B decodificava "tudo skip" em 8 bytes, uma interpolacao, ignorando 30 KB
77528961 0 | 2361 | reclassificado | o outro bit do reparo antigo e o frame_num (sem ele, 136; esperado 8). Ja estava no patches.txt desde o reparo; listado aqui so para o verify pula-lo
