# cabecalho_slice.txt -- saida de `python tools/cabecalho_slice.py`, 2026-09-18.
# NAO SAO PATCHES. Nada disto esta no patches.txt.
#
# Cada linha: quadro | estado do cabecalho hoje | solucoes de 1 ou 2 bits que
# deixam o cabecalho valido pela norma E igual ao esperado (tipo, frame_num e
# POC pelo ctts; constantes do filme). Formato das solucoes: offset bit.
#
# RESULTADO MEDIDO (mapa corrigido e serie, aplicando as solucoes UNICAS):
#
#   grupo                        quadros  unicas  efeito
#   A cabecalho invalido            443     252   157 passam a emitir imagem;
#                                                 mb sobe em 179, cai em 14
#   B valido, frame_num/POC errado  267     226   parse quase nao muda
#   C so campos incomuns            164     144   PIORA (cai 48, sobe 15) --
#                                                 "incomum" e escolha do
#                                                 codificador; controle negativo
#
#   Critério rigoroso: 209 -> 211 com o grupo A (frames 960 e 961, que dependem
#   do 958, consertado por 1 bit em cabac_init_idc). A IMAGEM DOS DOIS E
#   LISTRADA -- o GOP inteiro herda o IDR 953 borrado (armadilha 56). Ganho de
#   imagem boa: zero, como o RASTREIO.md ja registrava para os 536 candidatos de
#   frame_num/POC do cabecalhos.py.
#
# AMBIGUOS precisam do pixel: o frame 11 tem duas solucoes; a certa
# (147709 7 + 147712 1) prediz a tarja em 16 exato no MB 0, a outra
# (147707 0 + 147712 1) prediz 34 e croma 255.
#
# quadro | estado do cabecalho hoje | solucoes (offset bit [+ offset bit])
2623 | invalido: cabac_init_idc=31 fora de [0,2] | 0 solucao(oes): 
2627 | valido, desvia 0/1 | 1 solucao(oes): 87067499 0
2629 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 87103433 0
2640 | valido, desvia 1/1 | 1 solucao(oes): 87460936 2 + 87460940 2
2645 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 1 solucao(oes): 87643169 0 + 87643170 2
2646 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 87655188 7
2650 | valido, desvia 2/1 | 0 solucao(oes): 
2653 | valido, desvia 2/1 | 0 solucao(oes): 
2665 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 88197291 7 + 88197293 5
2674 | invalido: num_ref_idx_l1=33 fora de [0,31] | 0 solucao(oes): 
2675 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 0 solucao(oes): 
2681 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 88832779 3 + 88832780 0
2686 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 88975841 0
2691 | invalido: disable_deblocking_filter_idc=527 fora de [0,2] | 0 solucao(oes): 
2692 | invalido: mmco=19 fora de [0,6] | 0 solucao(oes): 
2693 | invalido: modification_of_pic_nums_idc=33151 fora de [0,3] | 1 solucao(oes): 89328602 0
2694 | invalido: modification_of_pic_nums_idc=20 fora de [0,3] | 1 solucao(oes): 89363645 2 + 89363645 0
2698 | valido, desvia 0/1 | 1 solucao(oes): 89561572 4 + 89561574 7
2701 | valido, desvia 0/2 | 1 solucao(oes): 89909669 0 + 89909671 6
2702 | valido, desvia 1/0 | 1 solucao(oes): 89918554 5
2706 | invalido: modification_of_pic_nums_idc=67071 fora de [0,3] | 1 solucao(oes): 90007998 5 + 90007999 7
2711 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
2715 | invalido: ue com zeros demais | 0 solucao(oes): 
2717 | valido, desvia 2/1 | 0 solucao(oes): 
2727 | valido, desvia 1/0 | 1 solucao(oes): 90542157 2
2734 | invalido: modification_of_pic_nums_idc=10 fora de [0,3] | 0 solucao(oes): 
2735 | valido, desvia 1/1 | 1 solucao(oes): 90951132 5 + 90951133 4
2738 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 91034970 0 + 91034974 4
2741 | invalido: disable_deblocking_filter_idc=10 fora de [0,2] | 1 solucao(oes): 91093424 3 + 91093427 4
2750 | valido, desvia 1/1 | 1 solucao(oes): 91481443 2 + 91481446 4
2752 | valido, desvia 1/1 | 1 solucao(oes): 91533855 0 + 91533857 1
2754 | invalido: abs_diff_pic_num_minus1=623103 fora de [0,255] | 0 solucao(oes): 
2758 | invalido: cabac_init_idc=38 fora de [0,2] | 1 solucao(oes): 92019810 0 + 92019812 2
2764 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 92170288 7 + 92170289 7
2771 | invalido: slice_type SP/SI | 0 solucao(oes): 
2775 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 92567564 2
2777 | valido, desvia 2/4 | 0 solucao(oes): 
2779 | valido, desvia 1/2 | 0 solucao(oes): 
2780 | valido, desvia 1/0 | 1 solucao(oes): 92810260 2
2784 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
2785 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 93106332 5 + 93106337 2
2787 | valido, desvia 0/1 | 1 solucao(oes): 93405962 7
2788 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 93455605 6 + 93455607 1
2791 | invalido: chroma_log2_weight_denom=693 fora de [0,7] | 0 solucao(oes): 
2792 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 1 solucao(oes): 93556689 5
2799 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 93739984 7 + 93739985 0
2800 | valido, desvia 1/0 | 1 solucao(oes): 93839777 3
2815 | valido, desvia 0/1 | 1 solucao(oes): 94289204 4
2820 | valido, desvia 1/0 | 1 solucao(oes): 94436572 3
2822 | valido, desvia 1/0 | 1 solucao(oes): 94477503 7
2826 | valido, desvia 0/3 | 1 solucao(oes): 94626776 7
2828 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 94720584 4
2833 | invalido: modification_of_pic_nums_idc=47 fora de [0,3] | 1 solucao(oes): 94970108 4 + 94970110 1
2834 | valido, desvia 0/1 | 0 solucao(oes): 
2838 | valido, desvia 1/0 | 1 solucao(oes): 95074157 5
2845 | valido, desvia 1/0 | 1 solucao(oes): 95275974 4
2849 | invalido: disable_deblocking_filter_idc=6 fora de [0,2] | 1 solucao(oes): 95417168 3 + 95417169 1
2850 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 95458780 7
2852 | invalido: modification_of_pic_nums_idc=4 fora de [0,3] | 1 solucao(oes): 95570690 0 + 95570692 2
2857 | invalido: ue com zeros demais | 1 solucao(oes): 95761876 0
2864 | valido, desvia 1/0 | 1 solucao(oes): 96058736 7
2865 | invalido: mmco=12 fora de [0,6] | 0 solucao(oes): 
2869 | valido, desvia 1/0 | 1 solucao(oes): 96210458 0 + 96210459 3
2873 | invalido: modification_of_pic_nums_idc=16 fora de [0,3] | 1 solucao(oes): 96350327 2
2876 | invalido: disable_deblocking_filter_idc=13 fora de [0,2] | 1 solucao(oes): 96406559 2
2877 | valido, desvia 1/0 | 1 solucao(oes): 96491702 3
2879 | valido, desvia 1/0 | 1 solucao(oes): 96542260 1
2893 | invalido: chroma_log2_weight_denom=281 fora de [0,7] | 0 solucao(oes): 
2903 | invalido: ue com zeros demais | 1 solucao(oes): 97525706 5
2907 | valido, desvia 1/0 | 1 solucao(oes): 97680372 2
2910 | valido, desvia 1/0 | 1 solucao(oes): 97829130 6
2918 | valido, desvia 1/0 | 1 solucao(oes): 98164798 3
2921 | invalido: cabac_init_idc=22 fora de [0,2] | 1 solucao(oes): 98268691 6
2932 | invalido: disable_deblocking_filter_idc=7 fora de [0,2] | 1 solucao(oes): 98655423 5
2937 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 98854976 2 + 98854978 2
2941 | valido, desvia 1/0 | 1 solucao(oes): 99045385 5 + 99045385 3
2945 | invalido: cabac_init_idc=3 fora de [0,2] | 0 solucao(oes): 
2946 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 99404168 7
2949 | invalido: cabac_init_idc=353111275 fora de [0,2] | 0 solucao(oes): 
2951 | invalido: modification_of_pic_nums_idc=132 fora de [0,3] | 0 solucao(oes): 
2953 | invalido: modification_of_pic_nums_idc=6 fora de [0,3] | 0 solucao(oes): 
2966 | valido, desvia 1/0 | 1 solucao(oes): 100132723 0
2972 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 100632928 1
2977 | valido, desvia 1/1 | 1 solucao(oes): 100774521 6 + 100774522 1
2980 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 100823945 2
2983 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 100919274 5
2987 | invalido: cabac_init_idc=34 fora de [0,2] | 0 solucao(oes): 
2991 | invalido: cabac_init_idc=38 fora de [0,2] | 1 solucao(oes): 101272155 1 + 101272158 6
2993 | invalido: ue com zeros demais | 1 solucao(oes): 101416455 3 + 101416457 1
2996 | invalido: chroma_log2_weight_denom=269 fora de [0,7] | 1 solucao(oes): 101519107 5
3014 | invalido: qp=-92 fora de [0,51] | 1 solucao(oes): 102387863 0 + 102387865 4
3017 | valido, desvia 1/0 | 1 solucao(oes): 102493937 3
3025 | valido, desvia 1/0 | 1 solucao(oes): 102740182 4
3028 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 102933612 1
3038 | valido, desvia 2/0 | 0 solucao(oes): 
3040 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 103226922 0 + 103226923 0
3041 | valido, desvia 0/1 | 1 solucao(oes): 103283271 0
3045 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 103386030 1 + 103386032 1
3048 | valido, desvia 1/0 | 1 solucao(oes): 103484067 5
3051 | valido, desvia 1/0 | 1 solucao(oes): 103570709 0
3056 | valido, desvia 1/0 | 1 solucao(oes): 103673478 4
3059 | valido, desvia 1/0 | 1 solucao(oes): 103766539 5
3065 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 0 solucao(oes): 
3069 | valido, desvia 1/0 | 1 solucao(oes): 104163765 7
3071 | valido, desvia 0/1 | 1 solucao(oes): 104209433 4
3074 | invalido: cabac_init_idc=6 fora de [0,2] | 1 solucao(oes): 104305392 0 + 104305396 6
3075 | invalido: ue com zeros demais | 0 solucao(oes): 
3078 | invalido: alpha=-15 fora de [-6,6] | 1 solucao(oes): 104603853 2 + 104603853 1
3081 | invalido: chroma=4104 fora de [-128,127] | 1 solucao(oes): 104656224 0
3082 | valido, desvia 1/0 | 1 solucao(oes): 104753545 1
3085 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 104810154 2 + 104810157 2
3086 | invalido: modification_of_pic_nums_idc=10 fora de [0,3] | 0 solucao(oes): 
3089 | valido, desvia 1/1 | 1 solucao(oes): 104955175 7 + 104955179 4
3090 | invalido: disable_deblocking_filter_idc=4101 fora de [0,2] | 0 solucao(oes): 
3093 | invalido: cabac_init_idc=65 fora de [0,2] | 0 solucao(oes): 
3095 | invalido: pps_id=2 fora de [0,0] | 0 solucao(oes): 
3097 | valido, desvia 0/1 | 0 solucao(oes): 
3098 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 105299134 5 + 105299137 6
3100 | valido, desvia 1/2 | 1 solucao(oes): 105346003 5 + 105346005 0
3103 | invalido: disable_deblocking_filter_idc=41343 fora de [0,2] | 0 solucao(oes): 
3110 | valido, desvia 2/4 | 0 solucao(oes): 
3117 | invalido: modification_of_pic_nums_idc=519 fora de [0,3] | 1 solucao(oes): 105632324 7 + 105632326 0
3118 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 105637786 0 + 105637792 4
3132 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 106028201 3
3133 | valido, desvia 2/0 | 1 solucao(oes): 106033741 1 + 106033742 4
3134 | invalido: modification_of_pic_nums_idc=1081354 fora de [0,3] | 0 solucao(oes): 
3136 | invalido: modification_of_pic_nums_idc=65535 fora de [0,3] | 0 solucao(oes): 
3143 | invalido: luma_log2_weight_denom=69 fora de [0,7] | 1 solucao(oes): 106179745 0
3150 | valido, desvia 1/1 | 1 solucao(oes): 106322412 1 + 106322415 4
3151 | valido, desvia 1/0 | 1 solucao(oes): 106329358 7
3153 | invalido: disable_deblocking_filter_idc=12 fora de [0,2] | 1 solucao(oes): 106380741 5 + 106380741 3
3158 | valido, desvia 1/3 | 0 solucao(oes): 
3159 | valido, desvia 1/0 | 1 solucao(oes): 106622249 1
3167 | invalido: cabac_init_idc=10 fora de [0,2] | 1 solucao(oes): 106767401 6
3168 | invalido: chroma_log2_weight_denom=7022 fora de [0,7] | 1 solucao(oes): 106773469 5 + 106773470 5
3169 | invalido: ue com zeros demais | 1 solucao(oes): 106819350 0 + 106819354 7
3173 | valido, desvia 0/1 | 1 solucao(oes): 106912845 2
3174 | valido, desvia 1/0 | 1 solucao(oes): 106922745 4
3181 | valido, desvia 0/1 | 1 solucao(oes): 107121075 1
3187 | invalido: modification_of_pic_nums_idc=2196789249 fora de [0,3] | 0 solucao(oes): 
3196 | invalido: modification_of_pic_nums_idc=26 fora de [0,3] | 1 solucao(oes): 107659183 7 + 107659194 4
3199 | valido, desvia 0/1 | 2 solucao(oes): 107770414 2 ; 107770414 1
3202 | invalido: beta=14 fora de [-6,6] | 1 solucao(oes): 107795236 1
3207 | valido, desvia 2/3 | 0 solucao(oes): 
3213 | invalido: modification_of_pic_nums_idc=63 fora de [0,3] | 0 solucao(oes): 
3214 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 107996202 3 + 107996207 1
3216 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
3222 | invalido: modification_of_pic_nums_idc=7 fora de [0,3] | 0 solucao(oes): 
3223 | invalido: modification_of_pic_nums_idc=67155837 fora de [0,3] | 0 solucao(oes): 
3226 | valido, desvia 1/0 | 1 solucao(oes): 108397204 5
3231 | invalido: modification_of_pic_nums_idc=6 fora de [0,3] | 0 solucao(oes): 
3232 | valido, desvia 1/0 | 1 solucao(oes): 108491390 7
3239 | valido, desvia 0/2 | 1 solucao(oes): 108635524 6
3243 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 0 solucao(oes): 
3247 | valido, desvia 2/0 | 1 solucao(oes): 108836820 3 + 108836821 2
3250 | invalido: pps_id=295 fora de [0,0] | 1 solucao(oes): 109085049 1 + 109085051 6
3252 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 109122431 6 + 109122431 1
3253 | valido, desvia 1/0 | 1 solucao(oes): 109127022 2
3254 | invalido: chroma_log2_weight_denom=8 fora de [0,7] | 0 solucao(oes): 
3255 | valido, desvia 1/0 | 1 solucao(oes): 109181787 0 + 109181788 4
3260 | valido, desvia 1/0 | 1 solucao(oes): 109272919 0 + 109272920 5
3267 | invalido: disable_deblocking_filter_idc=4 fora de [0,2] | 1 solucao(oes): 109428857 3 + 109428858 7
3270 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 109474437 1
3272 | valido, desvia 1/0 | 1 solucao(oes): 109565901 5
3283 | valido, desvia 2/2 | 0 solucao(oes): 
3286 | valido, desvia 1/0 | 1 solucao(oes): 110160724 3
3290 | valido, desvia 0/1 | 0 solucao(oes): 
3291 | valido, desvia 0/1 | 1 solucao(oes): 110446668 5
3292 | valido, desvia 0/1 | 1 solucao(oes): 110520178 1
3293 | valido, desvia 0/1 | 1 solucao(oes): 110534806 1
3294 | valido, desvia 0/1 | 1 solucao(oes): 110549263 1
3295 | valido, desvia 1/1 | 1 solucao(oes): 110561730 5 + 110561733 7
3296 | valido, desvia 2/1 | 0 solucao(oes): 
3297 | invalido: cabac_init_idc=3 fora de [0,2] | 0 solucao(oes): 
3298 | valido, desvia 0/1 | 1 solucao(oes): 110668879 7
3299 | valido, desvia 0/1 | 1 solucao(oes): 110680174 2
3300 | valido, desvia 0/1 | 1 solucao(oes): 110768894 7
3301 | valido, desvia 0/1 | 1 solucao(oes): 110781406 7
3302 | valido, desvia 1/1 | 1 solucao(oes): 110797810 0 + 110797814 7
3303 | invalido: cabac_init_idc=10 fora de [0,2] | 0 solucao(oes): 
3304 | valido, desvia 0/1 | 1 solucao(oes): 110869677 7
3305 | valido, desvia 0/1 | 1 solucao(oes): 110878420 7
3306 | valido, desvia 0/1 | 1 solucao(oes): 110884698 7
3307 | valido, desvia 0/3 | 1 solucao(oes): 110896578 0
3308 | valido, desvia 0/1 | 1 solucao(oes): 110974696 7
3309 | valido, desvia 0/1 | 1 solucao(oes): 110987117 7
3310 | valido, desvia 0/1 | 1 solucao(oes): 111013214 7
3311 | valido, desvia 0/1 | 1 solucao(oes): 111024964 4
3312 | valido, desvia 0/1 | 1 solucao(oes): 111113319 7
3313 | valido, desvia 0/1 | 1 solucao(oes): 111120117 2
3314 | valido, desvia 0/1 | 1 solucao(oes): 111178529 5
3315 | valido, desvia 0/1 | 1 solucao(oes): 111181940 7
3316 | valido, desvia 0/1 | 1 solucao(oes): 111189124 7
3318 | valido, desvia 0/1 | 1 solucao(oes): 111277198 7
3319 | valido, desvia 0/1 | 0 solucao(oes): 
3321 | valido, desvia 0/1 | 1 solucao(oes): 111627356 1
3322 | valido, desvia 0/1 | 1 solucao(oes): 111642106 1
3323 | valido, desvia 0/1 | 1 solucao(oes): 111652543 1
3325 | valido, desvia 0/1 | 1 solucao(oes): 111734237 7
3326 | valido, desvia 0/1 | 1 solucao(oes): 111744359 7
3327 | valido, desvia 0/1 | 1 solucao(oes): 111755297 7
3329 | valido, desvia 0/1 | 2 solucao(oes): 111860882 2 ; 111860882 1
3330 | valido, desvia 0/1 | 2 solucao(oes): 111891617 2 ; 111891617 1
3331 | valido, desvia 0/1 | 2 solucao(oes): 111906131 2 ; 111906131 1
3333 | valido, desvia 0/1 | 2 solucao(oes): 112003007 2 ; 112003007 1
3334 | valido, desvia 0/1 | 2 solucao(oes): 112021375 2 ; 112021375 1
3335 | valido, desvia 0/1 | 2 solucao(oes): 112039426 2 ; 112039426 1
3337 | valido, desvia 0/1 | 1 solucao(oes): 112122651 7
3338 | valido, desvia 0/1 | 1 solucao(oes): 112132682 7
3339 | valido, desvia 0/1 | 1 solucao(oes): 112146394 7
3341 | valido, desvia 0/1 | 2 solucao(oes): 112283661 2 ; 112283661 1
3342 | valido, desvia 0/1 | 2 solucao(oes): 112302762 2 ; 112302762 1
3343 | valido, desvia 0/1 | 2 solucao(oes): 112329909 2 ; 112329909 1
3345 | valido, desvia 0/1 | 1 solucao(oes): 112442283 7
3346 | valido, desvia 0/1 | 1 solucao(oes): 112451030 7
3347 | valido, desvia 0/1 | 1 solucao(oes): 112464133 7
3348 | valido, desvia 0/1 | 2 solucao(oes): 112482595 1 ; 112482595 0
3349 | valido, desvia 0/1 | 1 solucao(oes): 112725201 5
3350 | valido, desvia 0/1 | 1 solucao(oes): 112787590 1
3351 | valido, desvia 0/1 | 1 solucao(oes): 112797462 1
3352 | valido, desvia 0/1 | 1 solucao(oes): 112807928 1
3354 | valido, desvia 0/1 | 1 solucao(oes): 112898276 7
3355 | valido, desvia 0/1 | 1 solucao(oes): 112910966 7
3356 | valido, desvia 0/1 | 1 solucao(oes): 112922965 7
3358 | valido, desvia 0/1 | 1 solucao(oes): 112999040 7
3359 | valido, desvia 0/1 | 1 solucao(oes): 113010762 7
3360 | valido, desvia 0/1 | 1 solucao(oes): 113036095 7
3362 | valido, desvia 0/1 | 1 solucao(oes): 113110418 7
3363 | valido, desvia 0/1 | 1 solucao(oes): 113120181 7
3364 | valido, desvia 0/1 | 1 solucao(oes): 113131818 7
3366 | valido, desvia 0/1 | 1 solucao(oes): 113190569 7
3367 | valido, desvia 0/1 | 1 solucao(oes): 113200563 7
3368 | valido, desvia 0/1 | 0 solucao(oes): 
